,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.1,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.1,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2022.01,2022.02,2022.03
서울,737,884,788,651,507,409,426,372,327,283,268,274,205,187,200,157,119,64,41,39,75,56,68,45,45,48,48,47,47,47,42,39,29,28,28,27,27,50,770,292,178,123,190,205,207,191,176,151,131,112,91,78,70,61,58,56,54,52,52,49,49,88,82,76,71,65,59,55,55,55,54,54,47,47,180
부산,1308,1217,1251,1315,1253,1568,1429,1364,1306,1168,1110,1171,1102,1041,959,905,836,734,752,738,720,1473,1593,1920,2291,2937,2703,2427,2238,2169,3266,3129,3111,3205,3920,4153,5224,5228,5296,5401,5220,4982,4855,4644,4562,4380,2884,2115,2266,2061,1979,1993,2149,1666,1544,1454,1397,1262,1084,973,944,966,1032,1086,1076,1048,982,951,962,973,976,949,921,1028,1013
대구,1806,1666,1769,1638,1462,1230,1225,1631,1404,1135,978,915,828,703,627,529,383,299,237,139,133,125,125,126,143,135,153,230,194,506,1345,945,745,575,429,362,291,738,706,1585,1814,1739,1818,1736,1550,1362,1236,1790,1414,1072,1031,1068,1159,940,957,1624,1216,1143,667,280,419,195,153,897,1185,1017,1148,2365,2093,1933,2177,1977,3678,4561,6572
인천,4036,3596,3465,3329,3108,3179,3724,3124,2398,2830,3571,3053,3641,3335,4501,3703,3158,3057,2516,2081,2291,1908,1751,1549,1192,1246,1237,1311,1186,1327,1260,1208,1135,1122,1394,1324,1357,1799,2454,2105,3478,3632,2778,1557,1046,836,839,966,1035,487,449,481,342,266,294,525,414,822,691,466,245,142,130,123,125,334,341,339,440,428,423,425,423,409,532
광주,672,711,764,812,1049,1095,931,906,1090,877,691,554,818,764,696,1392,1326,804,797,766,769,781,796,707,562,431,383,366,338,317,266,240,194,194,75,58,52,49,45,40,40,39,39,181,139,95,180,148,59,36,32,31,31,31,31,31,259,245,88,31,307,44,44,75,73,66,54,39,36,33,29,27,6,5,2
대전,1038,866,759,684,812,767,740,859,693,730,606,644,551,726,998,935,888,1073,1083,1093,945,854,1062,759,1084,1210,740,843,888,1035,973,978,948,990,1426,1183,1407,1475,1475,1225,1137,1158,1048,1018,964,935,879,724,941,1012,968,917,871,875,849,783,773,832,831,638,635,599,592,578,572,565,527,503,471,469,602,460,423,477,469
울산,857,668,627,593,1609,1037,907,701,605,526,509,481,682,811,789,736,713,873,869,898,872,866,849,855,1089,837,830,1008,1004,1004,1006,1005,1007,1010,1009,997,1006,1009,1008,1076,1085,1201,1359,1339,1345,1012,1365,1269,1142,659,695,699,614,555,548,502,494,474,473,468,438,436,419,419,508,407,405,403,467,401,399,397,395,395,395
경기,24276,20491,19047,18365,17272,19737,17243,17860,16296,14594,14396,13362,15092,14492,14465,13309,11958,11229,9560,7596,7945,7912,8375,8793,8611,8676,7422,9003,8600,8134,7530,7287,6487,5529,5078,4968,6769,5878,7305,7048,6562,7853,7821,8569,8413,6976,7300,5085,3735,3634,3662,3224,2604,2445,2793,2585,3338,2733,2440,1616,1567,1367,1308,1390,1107,1267,981,789,918,807,995,1030,855,1862,2209
강원,2264,2271,1863,2097,1943,2127,3061,2678,2874,2479,3605,3314,3466,3281,3064,3297,3013,3019,2655,2316,3094,2701,2474,2816,2693,4636,5215,5038,4883,4729,4906,5240,5112,5350,5300,5736,5589,5802,5748,7882,7776,7712,7474,8097,7797,7382,7120,5945,4964,4168,3902,3742,3470,3202,3015,2816,3060,2884,2648,3115,2671,2340,2063,1817,1605,1517,1496,1296,1301,1172,1076,1648,1566,1498,1363
충북,5007,4341,4096,4596,4171,4907,4428,4081,4164,4089,3920,3989,4043,3982,4415,5755,5433,7108,6853,5435,4927,4652,5285,4980,4634,4526,4167,4398,4537,5288,4870,4880,4426,4944,4707,4560,3525,3375,3536,3514,3412,3095,3236,2895,2554,2576,2216,1672,1166,1202,1109,919,365,355,352,337,319,307,275,273,234,211,760,680,751,541,553,340,324,307,288,304,292,879,1056
충남,8530,8249,7823,7452,7869,8017,8644,9232,9585,9167,9073,9323,9094,8970,8785,8715,8312,8020,7645,9765,9470,11309,10624,11283,11352,11002,9738,9435,9111,9494,9963,9953,9489,9141,8476,7763,7149,6970,6743,6413,6355,6038,6201,6847,6429,5906,5895,5569,5470,5085,4843,4334,4695,3683,3266,3233,3030,3235,3582,2510,2061,1913,1758,1637,1508,1856,1738,1320,1205,1098,1057,1012,1383,1587,1532
전북,1311,1440,1470,1945,2374,2745,2518,2619,2736,2737,2533,2382,2468,2278,2087,2130,1956,2242,2082,2037,2154,1964,1895,1881,1846,1666,1651,1519,1891,2174,2034,1810,1681,1834,1692,1607,1567,1415,1374,1205,1513,1386,1451,1318,1198,1077,987,1043,1009,924,849,822,661,631,534,511,488,444,400,661,251,227,170,125,275,258,227,311,176,171,140,133,178,131,116
전남,1563,1478,1380,2017,1844,1758,1661,1508,1420,1364,1344,1245,1153,1145,1108,1023,979,935,756,690,780,728,651,627,1249,1211,1409,1325,1241,1212,1103,1494,1350,1742,1689,1663,2000,1957,1374,1474,1379,1349,1331,1476,1875,2081,1930,1857,1654,1455,1387,1373,1249,1244,1244,860,758,1073,1059,1059,1046,964,1017,999,981,1335,1298,1247,1235,2074,1954,2163,2219,2250,2410
경북,3725,3490,3994,3940,4658,5621,6198,5908,6716,7556,7266,7421,8032,7785,7538,7472,7774,7514,7826,8269,8077,8065,7794,7630,7806,8237,7820,7649,7455,8419,8198,8033,8760,8942,9421,8995,8531,8385,8262,8060,7866,7778,7517,7202,6919,6684,6406,6122,5639,5436,5296,5077,4306,3487,3276,3423,3325,2922,2541,2154,2049,2493,2488,2259,2070,1952,1757,1721,1495,1703,1598,4386,5227,6552,6519
경남,3353,3676,4683,4221,5403,5553,9737,9369,8801,7868,7414,8014,7785,11117,10712,9341,9040,9166,9707,10354,11147,11257,12122,12088,13227,12914,13149,13724,14955,14896,15095,14912,14847,14673,14213,14147,14060,14781,14824,13476,13800,14402,14250,14078,13903,13489,13060,12269,11586,11099,10827,10590,9971,8542,8840,8841,8163,7042,5581,3617,2964,2580,2123,2603,2753,3074,2699,2285,1794,1449,1346,1879,3124,2661,2702
제주,119,55,62,158,122,249,255,350,285,306,298,271,353,446,735,914,971,971,903,914,1021,1056,1183,1271,1280,1190,1339,1260,1268,1299,1275,1217,1275,1226,1265,1295,1187,1271,1227,1245,1126,1218,1161,1223,1161,1116,1088,1072,1057,1014,1184,1281,1337,1279,1282,1250,1221,1233,1208,1095,1250,1221,1131,1034,1000,987,933,900,870,873,877,836,969,897,891
세종,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,103,30,21,15,13
